exercise,have,resp_time,schedule,walk,location,subject_number
4,1,1364960606,null,2,,u00
3,2,1364828138,1,2,,u00
1,2,1364836376,1,1,,u00
1,1,1364875433,null,1,,u00
1,2,1365035283,1,2,,u00
1,2,1365041024,1,3,,u00
1,2,1365214761,1,1,,u00
4,1,1365129591,2,3,,u00
4,1,1365194271,null,3,,u00
3,2,1365359708,2,3,,u00
3,1,1365299772,null,3,,u00
1,2,1365571498,1,3,,u00
1,2,1366230462,1,2,,u00
1,2,1365807244,1,3,,u00
1,2,1366166684,1,1,,u00
1,2,1366250666,1,2,,u00
3,2,1366345779,1,1,"43.75872078,-72.32869187",u00
3,1,1366604608,null,2,"43.75957917,-72.32886943",u00
2,2,1366783707,1,1,Unknown,u00
3,1,1367203093,2,1,Unknown,u00
1,2,1367796624,2,5,"48.85875992,2.36238333",u00
1,2,1368036983,1,2,"45.42686431,12.350003",u00
1,2,1368677250,1,1,"43.70596914,-72.28674988",u00
4,2,1368767527,1,1,"43.70138552,-72.28880842",u00
1,2,1368042700,1,1,Unknown,u00
1,2,1368915663,1,1,"42.80466172,-71.29933505",u00
1,2,1369001965,1,1,Unknown,u00
1,1,1370032055,2,1,"43.70990415,-72.27948312",u00
4,2,1369512401,1,1,"38.92432799,-77.05412058",u00
1,2,1369772697,1,1,"43.70660017,-72.28716763",u00
3,2,1369861447,1,1,"43.70662665,-72.28716228",u00
3,1,1369944425,null,1,"43.70006541,-72.29016831",u00
1,null,1370117845,null,1,"43.999142,-71.83453784",u00
2,1,1370386862,null,1,"43.70666023,-72.28744135",u00
3,1,1370474328,null,1,"43.70697532,-72.28696303",u00
3,1,1370228689,2,2,"43.75910573,-72.32818315",u00
1,null,1375840036,null,1,"43.70207326,-72.28919072",u00
1,2,1364969002,2,3,,u01
1,2,1365217241,2,3,,u01
1,2,1365300347,2,1,,u01
1,2,1365571878,2,1,,u01
1,2,1366165858,2,2,,u01
1,2,1366331695,2,4,"43.70523775,-72.28968764",u01
1,2,1367033272,2,3,"43.70528019,-72.28949827",u01
3,1,1364875952,null,2,,u02
3,1,1365127525,1,3,,u02
1,2,1365294805,2,2,,u02
1,2,1365379453,2,2,,u02
3,1,1366344047,2,3,"43.70700651,-72.29317331",u02
1,2,1366509629,2,3,"43.70725865,-72.29291875",u02
3,1,1366783234,2,3,Unknown,u02
1,2,1367107323,2,2,"43.70699798,-72.29314193",u02
1,2,1367288291,2,2,"43.70683195,-72.28737158",u02
3,1,1367825688,2,2,"43.70719676,-72.29315695",u02
1,2,1368677499,2,2,"43.70713777,-72.29296993",u02
3,1,1368590425,2,3,"43.70725622,-72.29354946",u02
2,2,1365182985,2,2,,u03
2,2,1365358326,2,2,,u03
2,1,1365709461,2,2,,u03
1,2,1366603226,2,2,"43.70526343,-72.28319273",u03
2,2,1367205648,2,2,"43.70532812,-72.28315379",u03
2,2,1367121303,2,2,"43.70529403,-72.28319906",u03
2,2,1367287209,2,3,"43.70522961,-72.2829144",u03
2,2,1367803178,2,2,"43.70525531,-72.28306569",u03
5,1,1365008047,1,3,,u04
4,1,1365089873,2,3,,u04
4,1,1365301073,null,3,,u04
4,1,1365385313,2,2,,u04
4,1,1366254139,2,3,,u04
5,1,1366344431,null,3,"43.70558971,-72.29688149",u04
4,1,1366792255,2,2,"43.70310692,-72.28998483",u04
3,1,1367203184,2,2,"43.70310102,-72.28960565",u04
4,1,1367294366,null,2,"43.70344161,-72.28587472",u04
4,1,1367890383,2,3,"43.70556561,-72.29643857",u04
4,1,1368595495,null,3,"43.7019109,-72.28816483",u04
4,1,1368677894,null,2,"43.7026866,-72.28761377",u04
1,2,1364839331,2,3,,u07
5,1,1364866845,2,3,,u07
5,1,1364905283,2,2,,u07
5,1,1364958142,2,3,,u07
3,1,1365672733,2,3,,u07
1,2,1366169940,1,2,,u07
1,2,1366310305,2,2,3,u07
1,2,1366347425,2,2,"43.70464073,-72.29441487",u07
5,1,1366440663,2,2,"43.70392925,-72.28380701",u07
1,2,1366511539,2,2,"43.70334071,-72.28326211",u07
1,2,1366603859,2,2,"43.70671038,-72.27728207",u07
1,2,1366752696,1,2,"43.70425769,-72.28391582",u07
1,2,1366805341,2,2,"43.70389416,-72.2837747",u07
1,2,1364954938,1,3,,u08
1,2,1364835013,1,1,,u08
3,1,1364872676,null,3,,u08
1,2,1365010691,2,1,,u08
1,2,1365041296,1,2,,u08
3,1,1365104783,null,2,,u08
1,2,1365127880,1,2,,u08
1,2,1365211935,1,2,,u08
5,1,1365298056,null,3,,u08
1,2,1365389710,1,2,,u08
1,2,1365500170,1,3,,u08
1,2,1365590038,1,3,,u08
1,2,1366085547,1,3,,u08
1,2,1366164017,1,3,,u08
2,1,1365852887,null,2,,u08
1,2,1365747918,1,3,,u08
1,2,1365917959,1,2,,u08
1,2,1365998875,2,2,,u08
1,2,1366317230,1,2,null,u08
1,2,1366265160,1,3,,u08
4,1,1366489254,null,2,"43.70518194,-72.28800233",u08
1,2,1366575677,1,1,"43.70406215,-72.28755806",u08
1,2,1366786925,1,3,"43.70466963,-72.28690138",u08
1,2,1366698625,1,2,"43.7052687,-72.28811786",u08
1,2,1366851437,1,3,"43.70440204,-72.29052256",u08
1,2,1366926951,1,2,"43.70356196,-72.2866634",u08
1,2,1367022520,1,3,"43.70295661,-72.28995533",u08
1,2,1367399850,1,2,"43.70708811,-72.28767562",u08
1,2,1367898495,1,4,"43.7049437,-72.28880281",u08
5,1,1367745626,null,3,"43.7037094,-72.28660102",u08
1,2,1369002970,1,3,"43.70573461,-72.28972765",u08
1,2,1365041187,1,3,,u10
1,2,1364878602,1,2,,u10
1,2,1364954833,1,2,,u10
1,2,1365385449,1,2,,u10
1,2,1365213617,1,3,,u10
1,2,1365299958,1,2,,u10
4,1,1365473704,null,2,,u10
1,2,1365570876,2,2,,u10
3,1,1365651396,null,2,,u10
1,2,1366164012,1,2,,u10
1,2,1366175910,1,1,,u10
1,2,1366253086,1,4,,u10
1,2,1366344246,1,2,"43.7050225,-72.28939767",u10
4,1,1366595732,null,2,"43.70412385,-72.28696992",u10
1,2,1366789685,1,3,"43.70324408,-72.28961597",u10
3,1,1366868418,null,2,"43.70297206,-72.28625376",u10
1,2,1367201787,1,2,"43.70151131,-72.28813703",u10
3,1,1367639947,null,2,"43.7035419,-72.28496666",u10
3,1,1367886430,null,1,"43.70651291,-72.28794506",u10
1,2,1368590264,1,1,"43.70324666,-72.29028792",u10
3,1,1365010008,2,2,,u12
1,2,1365127231,1,3,,u12
4,1,1365314957,null,2,,u12
1,2,1365219610,1,3,,u12
3,1,1365969867,2,2,,u12
1,2,1365891822,1,1,,u12
1,2,1365706555,1,1,,u12
1,2,1365788938,1,1,,u12
3,1,1370020046,2,2,"43.63764029,-72.2483575",u12
1,2,1364846665,1,1,,u14
1,2,1364875292,1,3,,u14
1,2,1365040942,2,5,,u14
1,2,1365130196,2,5,,u14
1,2,1365379801,2,5,,u14
1,2,1366255134,2,5,,u14
1,2,1366344000,2,5,"43.7054501,-72.28744904",u14
1,2,1367287206,2,1,"43.70677996,-72.28732886",u14
4,1,1365395364,2,2,,u15
4,1,1365395366,2,1,,u15
5,1,1365570017,2,2,,u15
5,1,1366167785,2,2,,u15
5,1,1366316143,2,2,,u15
1,2,1364959192,1,2,,u16
3,1,1364839370,null,3,,u16
3,1,1365026477,null,3,,u16
3,1,1365043330,null,3,,u16
1,2,1365129159,2,3,,u16
3,1,1365450025,null,3,,u16
3,1,1365204841,null,3,,u16
1,2,1365299482,2,2,,u16
1,2,1365379447,2,2,,u16
5,2,1365561083,2,4,,u16
1,2,1365616214,1,3,,u16
1,2,1365722104,2,3,,u16
1,2,1366079971,null,2,,u16
5,1,1366164520,null,5,,u16
1,2,1366317580,2,3,3,u16
3,1,1366252425,null,4,,u16
1,2,1366603545,1,2,"43.70388114,-72.29106228",u16
3,1,1366476436,null,3,"43.70381863,-72.2910568",u16
1,2,1366576777,1,2,"43.70379379,-72.29137476",u16
5,1,1366784763,1,5,"43.70374487,-72.29078214",u16
1,2,1366956881,2,2,"43.70381392,-72.29084126",u16
1,2,1367021444,1,2,"43.70383449,-72.29122954",u16
1,2,1367109764,2,2,"43.70376923,-72.29082966",u16
1,2,1367200878,1,2,"43.70378913,-72.29087644",u16
1,2,1367287223,2,2,"43.70688467,-72.28732802",u16
1,1,1368590694,2,2,"43.70391463,-72.28988644",u16
3,1,1368678803,null,2,"43.70374249,-72.29050587",u16
1,2,1368767182,2,2,Unknown,u16
1,2,1367887827,1,2,"43.70695327,-72.28825554",u16
1,2,1368386122,2,3,Unknown,u16
4,1,1368038306,null,3,"43.70444528,-72.29050901",u16
1,2,1368471951,2,3,"43.70339979,-72.28817654",u16
3,1,1368818751,null,2,Unknown,u16
1,2,1369087318,2,2,Unknown,u16
1,2,1369513051,2,2,"43.70392831,-72.29052029",u16
1,2,1369603356,2,2,"43.70395666,-72.29093617",u16
1,2,1369689677,2,2,"43.70390249,-72.29064079",u16
1,2,1369866212,2,1,"43.68753666,-72.29250241",u16
1,2,1365010862,1,3,,u17
1,2,1365486864,1,3,,u17
1,2,1365486865,1,3,,u17
1,2,1365486870,1,3,,u17
1,2,1365486872,1,3,,u17
1,2,1365486874,1,3,,u17
1,2,1365881553,1,4,,u17
3,1,1366048133,2,3,,u17
1,2,1366165883,1,3,,u17
1,2,1366156278,1,2,,u17
1,2,1366338982,1,3,"43.70237732,-72.28914013",u17
1,2,1366487176,1,3,Unknown,u17
2,1,1366539399,2,3,Unknown,u17
2,1,1366582208,2,3,Unknown,u17
1,2,1367023803,1,3,"43.70685225,-72.28683238",u17
1,2,1367209965,1,3,Unknown,u17
1,2,1367108589,1,2,"43.70366438,-72.2901632",u17
1,2,1367293531,1,2,Unknown,u17
1,2,1367973984,1,2,"43.70177529,-72.28874021",u17
1,2,1369605975,1,1,Unknown,u17
1,2,1369975066,1,1,"43.70583041,-72.28925846",u17
4,1,1365047838,2,3,,u18
3,1,1364957841,null,3,,u18
1,2,1365394283,null,1,,u18
4,1,1365185604,2,2,,u18
1,2,1365394291,null,2,,u18
3,1,1365480514,2,3,,u18
3,1,1365551678,2,2,,u18
3,1,1365734637,2,3,,u18
1,2,1366305202,1,2,,u18
3,1,1366341923,2,3,"43.70264346,-72.28707",u18
5,1,1364875937,null,2,,u19
1,2,1364954469,1,3,,u19
5,1,1365063237,2,3,,u19
1,2,1365126229,1,3,,u19
1,2,1365128497,1,1,,u19
5,1,1365218699,null,3,,u19
1,2,1365409969,1,2,,u19
1,2,1365570249,2,3,,u19
5,1,1365476783,null,2,,u19
3,1,1365750884,2,2,,u19
2,1,1365554764,null,3,,u19
5,1,1365670908,null,3,,u19
4,1,1365817894,null,3,,u19
5,1,1366082321,null,2,,u19
1,2,1366165506,1,3,,u19
5,1,1366254359,2,3,,u19
2,1,1366345170,null,3,"43.70576649,-72.28783793",u19
5,1,1366531990,null,2,"43.7067391,-72.28556913",u19
5,1,1366425470,null,2,"43.70661361,-72.2859456",u19
5,1,1367033075,2,2,"43.70708146,-72.2859818",u19
1,2,1366783210,1,3,"43.70453889,-72.28787543",u19
4,1,1366678167,null,3,"43.70676468,-72.28542565",u19
5,1,1367192097,2,2,"43.70670747,-72.28550624",u19
5,1,1367291068,2,2,"43.70729551,-72.28748503",u19
3,1,1368248797,2,2,"43.70700456,-72.28598088",u19
1,2,1367885085,1,2,"43.70727285,-72.28621797",u19
1,2,1367606970,1,3,"43.70690988,-72.28699822",u19
4,1,1368501403,2,2,"43.70670191,-72.28568105",u19
1,2,1368763332,1,2,"43.70709415,-72.28737229",u19
5,1,1367740419,2,3,"43.70691192,-72.28587513",u19
5,1,1367816955,2,3,"43.70706308,-72.28596174",u19
1,2,1367971550,1,3,"43.70733979,-72.28607989",u19
4,1,1367635657,2,2,"43.70705362,-72.28594706",u19
1,2,1368594398,1,2,"43.70120165,-72.28667414",u19
1,2,1368916123,null,2,"43.70680509,-72.28557325",u19
1,2,1368850279,1,2,"43.70161344,-72.28714129",u19
4,1,1369116101,2,2,"43.70708213,-72.2859049",u19
1,2,1369210196,1,2,"43.7040776,-72.29042456",u19
2,1,1369296127,null,2,"43.7066368,-72.2855942",u19
1,2,1369383293,1,2,Unknown,u19
1,2,1369512297,1,1,"43.70706719,-72.28602375",u19
1,2,1369561943,1,2,"43.70709334,-72.28524117",u19
1,2,1369852451,1,2,"43.70689977,-72.28714289",u19
1,2,1369984333,1,2,"43.70696465,-72.28583899",u19
1,2,1364875222,2,3,,u20
3,2,1364955670,2,3,,u20
4,2,1365385507,2,2,,u20
1,2,1364877836,2,1,,u22
3,1,1364956140,2,1,,u22
1,2,1365040889,2,1,,u22
1,2,1365214552,2,1,,u22
3,1,1365113670,2,1,,u22
3,1,1365127225,2,1,,u22
1,2,1365295894,2,1,,u22
3,1,1365384971,2,1,,u22
1,2,1365460159,2,1,,u22
3,1,1366000498,2,1,,u22
3,1,1365551798,2,1,,u22
3,1,1365728170,2,1,,u22
1,2,1365638857,2,1,,u22
3,1,1366165456,2,1,,u22
3,1,1366344049,2,1,"43.70426635,-72.29067159",u22
3,1,1366511491,2,1,"43.70290451,-72.29009473",u22
3,1,1366790350,2,1,"43.70440331,-72.29084007",u22
1,2,1367020814,2,1,"42.34645192,-71.06042379",u22
3,1,1367971349,2,1,"43.70402702,-72.2905121",u22
1,2,1369685157,1,1,Unknown,u22
1,2,1364862635,2,1,,u23
1,null,1364862639,null,2,,u23
1,2,1364876129,2,1,,u23
1,2,1365010509,1,2,,u23
1,2,1364949823,2,1,,u23
1,2,1365047673,2,1,,u23
1,2,1365127272,2,1,,u23
1,2,1365210635,2,1,,u23
1,2,1365308158,2,1,,u23
3,1,1365389627,2,2,,u23
2,2,1365379260,2,3,,u23
1,2,1365570034,2,1,,u23
3,1,1365919230,2,2,,u23
1,null,1366164942,null,1,,u23
1,null,1366349587,null,1,"43.70547625,-72.28332242",u23
1,null,1366603230,null,1,"43.70531979,-72.28326262",u23
1,null,1366783176,null,1,"43.70550562,-72.28313413",u23
1,2,1364843192,1,1,,u24
1,2,1365024917,1,3,,u24
1,2,1365133383,1,2,,u24
4,1,1365372387,null,3,,u24
2,1,1365754458,null,2,,u24
3,1,1365785708,null,2,,u24
3,1,1365886703,null,2,,u24
1,2,1365980483,2,2,,u24
1,2,1366250443,1,2,,u24
4,1,1364869004,null,3,,u25
5,1,1365042999,null,2,,u25
5,1,1365133336,null,2,,u25
5,1,1365459230,null,2,,u25
1,2,1366603733,1,2,"43.70682898,-72.2876686",u25
1,2,1364875581,1,3,,u27
1,2,1364955485,1,2,,u27
1,2,1365043877,2,2,,u27
1,2,1366257583,1,1,,u27
1,2,1366021191,2,2,,u27
1,2,1366344409,1,1,"43.70397962,-72.28593035",u27
1,2,1366510775,1,1,"43.70387421,-72.28565294",u27
1,2,1366604384,1,1,"43.70356921,-72.28639414",u27
1,2,1367112102,1,1,"43.70552478,-72.28974476",u27
1,2,1367201363,1,1,"43.70401485,-72.28565495",u27
1,2,1367642694,1,1,"43.70317223,-72.28692052",u27
1,2,1365015404,1,3,,u30
1,2,1365285721,1,3,,u30
1,2,1365285717,1,3,,u30
3,1,1365621859,null,2,,u30
1,2,1366167746,1,2,,u30
3,1,1367031588,null,3,"43.71728912,-72.27389189",u30
2,2,1365040876,1,3,,u31
4,1,1364867716,2,2,,u31
2,2,1365127222,2,2,,u31
2,2,1365213711,2,3,,u31
4,1,1365288317,2,4,,u31
3,2,1366164414,2,2,,u31
5,1,1366079491,2,5,,u31
2,2,1366250748,1,2,,u31
1,2,1364955553,2,2,,u32
1,2,1364876210,2,1,,u32
1,2,1365045858,2,2,,u32
1,2,1365135172,2,2,,u32
1,2,1365380036,2,2,,u32
2,1,1366012274,null,2,,u32
1,2,1365580604,2,2,,u32
1,2,1365788529,2,2,,u32
1,2,1365838990,2,2,,u32
1,2,1366187223,2,2,,u32
2,1,1366480470,null,2,"43.70587544,-72.2911665",u32
3,1,1366512627,null,2,"43.70587544,-72.2911665",u32
1,2,1366608591,2,2,"43.7031993,-72.2904444",u32
3,1,1366690860,null,2,"43.7031993,-72.2904444",u32
1,2,1367202088,2,2,"43.70301955,-72.29020739",u32
1,2,1366962128,2,2,"43.70608389,-72.29104393",u32
1,2,1367202111,2,2,"43.70301955,-72.29020739",u32
1,2,1367979379,2,2,"43.70690225,-72.28707856",u32
1,2,1367830340,2,2,"43.70389513,-72.29041685",u32
1,2,1368679726,2,2,"43.70333692,-72.29043048",u32
1,2,1369002681,2,3,Unknown,u32
1,2,1369002696,2,3,Unknown,u32
1,2,1369862978,2,2,"43.70602974,-72.28961179",u32
2,1,1369772008,null,2,"43.70450738,-72.29025958",u32
3,1,1369954064,2,2,"43.70605254,-72.28941754",u32
1,2,1364954927,2,1,,u33
1,2,1364875493,2,2,,u33
1,2,1365054497,2,3,,u33
1,2,1365128633,2,2,,u33
1,2,1365379210,2,1,,u33
1,2,1365212801,2,3,,u33
1,2,1365292838,1,2,,u33
1,2,1365487578,2,3,,u33
1,2,1365570428,1,2,,u33
1,2,1366264224,2,3,,u33
1,2,1365745906,2,3,,u33
1,2,1365659988,2,3,,u33
1,2,1366030304,2,1,,u33
1,2,1365824888,2,3,,u33
1,2,1365913902,2,1,,u33
1,2,1366164007,2,1,,u33
1,2,1366113134,1,3,,u33
1,2,1366347044,2,3,"43.70746347,-72.28509434",u33
1,2,1366451007,1,3,"43.70375648,-72.29575915",u33
1,2,1366512051,2,1,"43.70378828,-72.29600636",u33
1,2,1366603229,1,3,"43.70364552,-72.29593922",u33
